Date,Open,High,Low,Close,Adj Close,Volume
2003-09-12,9.079030,9.357646,9.079030,9.079030,3.277383,23889654
2003-09-15,9.107853,9.194320,9.050208,9.107853,3.287788,39953086
2003-09-16,9.213534,9.213534,9.098245,9.213534,3.325936,20700313
2003-09-17,9.194320,9.319216,9.184712,9.194320,3.319000,22809060
2003-09-18,9.338431,9.348039,9.184712,9.338431,3.371022,24894229
2003-09-19,9.213534,9.415291,9.194320,9.213534,3.325936,37225446
2003-09-22,9.011778,9.155890,8.954134,9.011778,3.253106,33252013
2003-09-23,8.867667,9.059815,8.829237,8.867667,3.201085,65641719
2003-09-24,8.829237,8.992563,8.819629,8.829237,3.187212,69847926
2003-09-25,8.781200,8.829237,8.694733,8.781200,3.169871,22611209
2003-09-26,8.637088,8.800415,8.617873,8.637088,3.117849,106296303
2003-09-29,8.560229,8.723555,8.531406,8.560229,3.090104,26568823
2003-09-30,8.512191,8.665910,8.444939,8.512191,3.072762,109466230
2003-10-01,8.560229,8.617873,8.512191,8.560229,3.090104,22193071
2003-10-02,8.646696,8.790807,8.598658,8.646696,3.121316,98774399
2003-10-03,8.915704,8.915704,8.608266,8.915704,3.218424,78625806
2003-10-06,8.848452,8.906096,8.810022,8.848452,3.194148,54055013
2003-10-07,8.800415,8.896489,8.752377,8.800415,3.176808,58945762
2003-10-08,8.877274,8.992563,8.742770,8.877274,3.204552,26482882
2003-10-09,9.059815,9.059815,8.819629,9.059815,3.270447,34065164
2003-10-10,8.925311,9.021386,8.848452,8.925311,3.252939,42582373
2003-10-13,9.059815,9.079030,8.925311,9.059815,3.301960,80461500
2003-10-14,9.021386,9.098245,8.973348,9.021386,3.287955,21396854
2003-10-15,9.011778,9.117460,8.982956,9.011778,3.284453,33576120
2003-10-16,9.011778,9.107853,8.954134,9.011778,3.284453,19385176
2003-10-17,8.944526,9.079030,8.915704,8.944526,3.259942,35204491
2003-10-20,8.906096,8.982956,8.867667,8.906096,3.245936,31566448
2003-10-21,8.963741,9.011778,8.915704,8.963741,3.266945,23234457
2003-10-22,8.838844,8.982956,8.810022,8.838844,3.221424,19337846
2003-10-23,8.790807,8.810022,8.656303,8.790807,3.203918,21521254
2003-10-24,8.829237,8.829237,8.704340,8.829237,3.217924,15717550
2003-10-27,9.050208,9.050208,8.886882,9.050208,3.298458,32300306
2003-10-28,9.223142,9.223142,9.059815,9.223142,3.361487,47381038
2003-10-29,9.251964,9.309609,9.184712,9.251964,3.371990,61414537
2003-10-30,9.463328,9.501758,9.194320,9.463328,3.449025,33353013
2003-10-31,9.482543,9.492150,9.357646,9.482543,3.456029,44436699
2003-11-03,9.645869,9.655477,9.501758,9.645869,3.515555,26527938
2003-11-04,9.607440,9.674692,9.578617,9.607440,3.501549,42952328
2003-11-05,9.511365,9.588225,9.472935,9.511365,3.466533,38617617
2003-11-06,9.597832,9.645869,9.444113,9.597832,3.498046,32962241
2003-11-07,9.693906,9.741944,9.636262,9.693906,3.533062,43954289
